repo_name,file_path,file_html,class_name,me_name,me_code,old_code,chatGPT_code,element_str,slice_str,chatgpt_real_acc,ridiom_acc,real_acc,double sen,truth_code
jira,/data1/zhangzejun/mnt/zejun/smp/data/python_star_2000repo/jira/jira/client.py,https://github.com/pycontribs/jira/tree/master/jira/client.py,JIRA,groups$1322,"def groups(self, query: Optional[str]=None, exclude: Optional[Any]=None, maxResults: int=9999) -> List[str]:
    """"""Return a list of groups matching the specified criteria.

        Args:
            query (Optional[str]): filter groups by name with this string
            exclude (Optional[Any]): filter out groups by name with this string
            maxResults (int): maximum results to return. (Default: 9999)
        Returns:
            List[str]

        """"""
    params: Dict[str, Any] = {}
    groups = []
    if query is not None:
        params['query'] = query
    if exclude is not None:
        params['exclude'] = exclude
    if maxResults is not None:
        params['maxResults'] = maxResults
    for group in self._get_json('groups/picker', params=params)['groups']:
        groups.append(group['name'])
    return sorted(groups)","for group in self._get_json('groups/picker', params=params)['groups']:
    groups.append(group['name'])","groups += [group['name'] for group in self._get_json('groups/picker', params=params)['groups']]","groups = [group['name'] for group in self._get_json('groups/picker', params=params)['groups']]",0,1,,,,robosuite
django-zappa,/data1/zhangzejun/mnt/zejun/smp/data/python_star_2000repo/django-zappa/django_zappa/management/commands/tail.py,https://github.com/Miserlou/django-zappa/tree/master/django_zappa/management/commands/tail.py,Command,handle$36,"def handle(self, *args, **options):
    """"""
        Execute the command.

        """"""
    self.require_settings(args, options)
    self.load_credentials()
    try:
        all_logs = self.zappa.fetch_logs(self.lambda_name)
        self.print_logs(all_logs)
        while True:
            all_logs_again = self.zappa.fetch_logs(self.lambda_name)
            new_logs = []
            for log in all_logs_again:
                if log not in all_logs:
                    new_logs.append(log)
            self.print_logs(new_logs)
            all_logs = all_logs + new_logs
    except KeyboardInterrupt:
        try:
            sys.exit(0)
        except SystemExit:
            os._exit(0)
    return","for log in all_logs_again:
    if log not in all_logs:
        new_logs.append(log)",new_logs = [log for log in all_logs_again if log not in all_logs],new_logs = [log for log in all_logs_again if log not in all_logs],1,,,,,robosuite
mmocr,/data1/zhangzejun/mnt/zejun/smp/data/python_star_2000repo/mmocr/mmocr/datasets/pipelines/dbnet_transforms.py,https://github.com/open-mmlab/mmocr/tree/master/mmocr/datasets/pipelines/dbnet_transforms.py,ImgAug,may_augment_poly$127,"def may_augment_poly(self, aug, img_shape, polys):
    imgaug_polys = []
    for poly in polys:
        poly = poly[0]
        poly = poly.reshape(-1, 2)
        imgaug_polys.append(imgaug.Polygon(poly))
    imgaug_polys = aug.augment_polygons([imgaug.PolygonsOnImage(imgaug_polys, shape=img_shape)])[0].clip_out_of_image()
    new_polys = []
    for poly in imgaug_polys.polygons:
        new_poly = []
        for point in poly:
            new_poly.append(np.array(point, dtype=np.float32))
        new_poly = np.array(new_poly, dtype=np.float32).flatten()
        new_polys.append([new_poly])
    return new_polys","for poly in polys:
    poly = poly[0]
    poly = poly.reshape(-1, 2)
    imgaug_polys.append(imgaug.Polygon(poly))","imgaug_polys = [imgaug.Polygon(poly[0].reshape(-1, 2)) for poly in polys]",Cannot refactor,-1,1,,,,robosuite
mmocr,/data1/zhangzejun/mnt/zejun/smp/data/python_star_2000repo/mmocr/mmocr/datasets/pipelines/dbnet_transforms.py,https://github.com/open-mmlab/mmocr/tree/master/mmocr/datasets/pipelines/dbnet_transforms.py,ImgAug,may_augment_poly$127,"def may_augment_poly(self, aug, img_shape, polys):
    imgaug_polys = []
    for poly in polys:
        poly = poly[0]
        poly = poly.reshape(-1, 2)
        imgaug_polys.append(imgaug.Polygon(poly))
    imgaug_polys = aug.augment_polygons([imgaug.PolygonsOnImage(imgaug_polys, shape=img_shape)])[0].clip_out_of_image()
    new_polys = []
    for poly in imgaug_polys.polygons:
        new_poly = []
        for point in poly:
            new_poly.append(np.array(point, dtype=np.float32))
        new_poly = np.array(new_poly, dtype=np.float32).flatten()
        new_polys.append([new_poly])
    return new_polys","for poly in imgaug_polys.polygons:
    new_poly = []
    for point in poly:
        new_poly.append(np.array(point, dtype=np.float32))
    new_poly = np.array(new_poly, dtype=np.float32).flatten()
    new_polys.append([new_poly])","new_polys = [[[np.array(point, dtype=np.float32) for point in poly].flatten()] for poly in imgaug_polys.polygons]",Cannot refactor,-1,1,,,,robosuite
mmocr,/data1/zhangzejun/mnt/zejun/smp/data/python_star_2000repo/mmocr/mmocr/datasets/pipelines/dbnet_transforms.py,https://github.com/open-mmlab/mmocr/tree/master/mmocr/datasets/pipelines/dbnet_transforms.py,ImgAug,may_augment_poly$127,"def may_augment_poly(self, aug, img_shape, polys):
    imgaug_polys = []
    for poly in polys:
        poly = poly[0]
        poly = poly.reshape(-1, 2)
        imgaug_polys.append(imgaug.Polygon(poly))
    imgaug_polys = aug.augment_polygons([imgaug.PolygonsOnImage(imgaug_polys, shape=img_shape)])[0].clip_out_of_image()
    new_polys = []
    for poly in imgaug_polys.polygons:
        new_poly = []
        for point in poly:
            new_poly.append(np.array(point, dtype=np.float32))
        new_poly = np.array(new_poly, dtype=np.float32).flatten()
        new_polys.append([new_poly])
    return new_polys","for point in poly:
    new_poly.append(np.array(point, dtype=np.float32))","new_poly += [np.array(point, dtype=np.float32) for point in poly]","new_poly = [np.array(point, dtype=np.float32) for point in poly]",0,1,,,,robosuite
cats-blender-plugin,/data1/zhangzejun/mnt/zejun/smp/data/python_star_2000repo/cats-blender-plugin/tools/translate.py,https://github.com/absolute-quantum/cats-blender-plugin/tree/master/tools/translate.py,TranslateBonesButton,execute$114,"def execute(self, context):
    to_translate = []
    for armature in Common.get_armature_objects():
        for bone in armature.data.bones:
            to_translate.append(bone.name)
    update_dictionary(to_translate, self=self)
    count = 0
    for armature in Common.get_armature_objects():
        for bone in armature.data.bones:
            (bone.name, translated) = translate(bone.name)
            if translated:
                count += 1
    self.report({'INFO'}, t('TranslateBonesButton.success', number=str(count)))
    return {'FINISHED'}","for armature in Common.get_armature_objects():
    for bone in armature.data.bones:
        to_translate.append(bone.name)",to_translate = [bone.name for armature in Common.get_armature_objects() for bone in armature.data.bones],to_translate = [bone.name for armature in Common.get_armature_objects() for bone in armature.data.bones],1,,,,,robosuite
galaxy,/data1/zhangzejun/mnt/zejun/smp/data/python_star_2000repo/galaxy/lib/galaxy/visualization/plugins/interactive_environments.py,https://github.com/ansible/galaxy/tree/master/lib/galaxy/visualization/plugins/interactive_environments.py,InteractiveEnvironmentRequest,get_container_port_mapping$582,"def get_container_port_mapping(self, inspect_data):
    """"""
        :type inspect_data: dict
        :param inspect_data: output of docker inspect
        :returns: a list of triples containing (internal_port, external_ip,
                  external_port), of which the ports are probably the only
                  useful information.

        Someday code that calls this should be refactored whenever we get
        containers with multiple ports working.
        """"""
    mappings = []
    port_mappings = inspect_data[0]['NetworkSettings']['Ports']
    for port_name in port_mappings:
        for binding in port_mappings[port_name]:
            mappings.append((int(port_name.replace('/tcp', '').replace('/udp', '')), binding['HostIp'], int(binding['HostPort'])))
    return mappings","for port_name in port_mappings:
    for binding in port_mappings[port_name]:
        mappings.append((int(port_name.replace('/tcp', '').replace('/udp', '')), binding['HostIp'], int(binding['HostPort'])))","mappings += [(int(port_name.replace('/tcp', '').replace('/udp', '')), binding['HostIp'], int(binding['HostPort'])) for port_name in port_mappings for binding in port_mappings[port_name]]","mappings = [(int(port_name.replace('/tcp', '').replace('/udp', '')), binding['HostIp'], int(binding['HostPort'])) for port_name in port_mappings for binding in port_mappings[port_name]]",0,1,,,,robosuite
machine_learning_security,/data1/zhangzejun/mnt/zejun/smp/data/python_star_2000repo/machine_learning_security/DeepExploit/DeepExploit.py,https://github.com/13o-bbr-bbq/machine_learning_security/tree/master/DeepExploit/DeepExploit.py,Metasploit,set_pivoting$1593,"def set_pivoting(self, session_id, ip_list):
    temp_subnet = []
    for internal_ip in ip_list:
        temp_subnet.append(self.get_subnet(session_id, internal_ip))
    for subnet in list(map(list, set(map(tuple, temp_subnet)))):
        cmd = 'run autoroute -s ' + subnet[0] + ' ' + subnet[1] + '\n'
        _ = self.client.execute_meterpreter(session_id, cmd)
        time.sleep(3.0)
        _ = self.client.execute_meterpreter(session_id, 'run autoroute -p\n')","for internal_ip in ip_list:
    temp_subnet.append(self.get_subnet(session_id, internal_ip))","temp_subnet = [self.get_subnet(session_id, internal_ip) for internal_ip in ip_list]","temp_subnet = [self.get_subnet(session_id, internal_ip) for internal_ip in ip_list]",1,,,,,robosuite
subuser,/data1/zhangzejun/mnt/zejun/smp/data/python_star_2000repo/subuser/subuserlib/classes/installedImage.py,https://github.com/subuser-security/subuser/tree/master/subuserlib/classes/installedImage.py,InstalledImage,getImageLineage$122,"def getImageLineage(self):
    """"""
    Return the list(lineage) of InstalledImages which goes from a base image to this image including all of the image's ancestors in order of dependency.
    """"""
    lineage = []
    dockerImageLayers = self.getLineageLayers()
    for dockerImageLayer in dockerImageLayers:
        if dockerImageLayer in self.user.installedImages:
            lineage.append(self.user.installedImages[dockerImageLayer])
    return lineage","for dockerImageLayer in dockerImageLayers:
    if dockerImageLayer in self.user.installedImages:
        lineage.append(self.user.installedImages[dockerImageLayer])",lineage = [self.user.installedImages[dockerImageLayer] for dockerImageLayer in dockerImageLayers if dockerImageLayer in self.user.installedImages],lineage = [self.user.installedImages[dockerImageLayer] for dockerImageLayer in dockerImageLayers if dockerImageLayer in self.user.installedImages],1,,,,,robosuite
nlp-recipes,/data1/zhangzejun/mnt/zejun/smp/data/python_star_2000repo/nlp-recipes/utils_nlp/models/transformers/abstractive_summarization_seq2seq.py,https://github.com/microsoft/nlp-recipes/tree/master/utils_nlp/models/transformers/abstractive_summarization_seq2seq.py,S2SAbsSumProcessor,s2s_dataset_from_iterable_sum_ds$245,"def s2s_dataset_from_iterable_sum_ds(self, sum_ds, train_mode, cached_features_file=None, local_rank=-1, top_n=-1):
    """"""
        Converts IterableSummarizationDataset to S2SAbsSumDataset.

        Args:
            sum_ds (IterableSummarizationDataset): Input dataset.
            train_mode (bool): Whether the input data is for training or testing.
            cached_features_file (str, optional): Path of the cached features file.
                If provided and the file already exists, it is loaded and used.
                If provided and the file doesn't exist, processed features are
                saved to this file.
                If not provided, processed features are saved to cache_dir.
                Defaults to None.
            local_rank (int, optional): Local rank of the device in distributed
                training. Defaults to -1, which means non-distributed training.
            top_n (int, optional): The number which specifies how many examples in the
                beginning of the input dataset that will be used to create the dataset.
                Defaults to -1, which means the whole dataset should be processsed.

        Returns:
            S2SAbsSumDataset
        """"""
    examples = []
    if train_mode:
        for (source, target) in zip(sum_ds, sum_ds.get_target()):
            examples.append({'src': source, 'tgt': target})
    else:
        for source in sum_ds:
            examples.append({'src': source})
    s2s_dataset = S2SAbsSumProcessor.create_s2s_dataset(examples=examples, train_mode=train_mode, tokenizer=self.tokenizer, output_dir=self.cache_dir, local_rank=local_rank, cached_features_file=cached_features_file, top_n=top_n)
    return s2s_dataset","for (source, target) in zip(sum_ds, sum_ds.get_target()):
    examples.append({'src': source, 'tgt': target})","examples = [{'src': source, 'tgt': target} for (source, target) in zip(sum_ds, sum_ds.get_target())]","examples = [{'src': source, 'tgt': target} for (source, target) in zip(sum_ds, sum_ds.get_target())]",1,,,,,robosuite
nlp-recipes,/data1/zhangzejun/mnt/zejun/smp/data/python_star_2000repo/nlp-recipes/utils_nlp/models/transformers/abstractive_summarization_seq2seq.py,https://github.com/microsoft/nlp-recipes/tree/master/utils_nlp/models/transformers/abstractive_summarization_seq2seq.py,S2SAbsSumProcessor,s2s_dataset_from_iterable_sum_ds$245,"def s2s_dataset_from_iterable_sum_ds(self, sum_ds, train_mode, cached_features_file=None, local_rank=-1, top_n=-1):
    """"""
        Converts IterableSummarizationDataset to S2SAbsSumDataset.

        Args:
            sum_ds (IterableSummarizationDataset): Input dataset.
            train_mode (bool): Whether the input data is for training or testing.
            cached_features_file (str, optional): Path of the cached features file.
                If provided and the file already exists, it is loaded and used.
                If provided and the file doesn't exist, processed features are
                saved to this file.
                If not provided, processed features are saved to cache_dir.
                Defaults to None.
            local_rank (int, optional): Local rank of the device in distributed
                training. Defaults to -1, which means non-distributed training.
            top_n (int, optional): The number which specifies how many examples in the
                beginning of the input dataset that will be used to create the dataset.
                Defaults to -1, which means the whole dataset should be processsed.

        Returns:
            S2SAbsSumDataset
        """"""
    examples = []
    if train_mode:
        for (source, target) in zip(sum_ds, sum_ds.get_target()):
            examples.append({'src': source, 'tgt': target})
    else:
        for source in sum_ds:
            examples.append({'src': source})
    s2s_dataset = S2SAbsSumProcessor.create_s2s_dataset(examples=examples, train_mode=train_mode, tokenizer=self.tokenizer, output_dir=self.cache_dir, local_rank=local_rank, cached_features_file=cached_features_file, top_n=top_n)
    return s2s_dataset","for source in sum_ds:
    examples.append({'src': source})",examples += [{'src': source} for source in sum_ds],Cannot refactor,-1,1,,,,robosuite
TensorNetwork,/data1/zhangzejun/mnt/zejun/smp/data/python_star_2000repo/TensorNetwork/tensornetwork/network_operations.py,https://github.com/google/TensorNetwork/tree/master/tensornetwork/network_operations.py,,split_node$130,"def split_node(node: AbstractNode, left_edges: List[Edge], right_edges: List[Edge], max_singular_values: Optional[int]=None, max_truncation_err: Optional[float]=None, relative: Optional[bool]=False, left_name: Optional[Text]=None, right_name: Optional[Text]=None, edge_name: Optional[Text]=None) -> Tuple[AbstractNode, AbstractNode, Tensor]:
    """"""Split a `node` using Singular Value Decomposition.

  Let :math:`M` be the matrix created by flattening `left_edges` and 
  `right_edges` into 2 axes. 
  Let :math:`U S V^* = M` be the SVD of :math:`M`. 
  This will split the network into 2 nodes. 
  The left node's tensor will be :math:`U \\sqrt{S}` 
  and the right node's tensor will be
  :math:`\\sqrt{S} V^*` where :math:`V^*` is the adjoint of :math:`V`.

  The singular value decomposition is truncated if `max_singular_values` or
  `max_truncation_err` is not `None`.

  The truncation error is the 2-norm of the vector of truncated singular
  values. If only `max_truncation_err` is set, as many singular values will
  be truncated as possible while maintaining:
  `norm(truncated_singular_values) <= max_truncation_err`.
  If `relative` is set `True` then `max_truncation_err` is understood
  relative to the largest singular value.

  If only `max_singular_values` is set, the number of singular values kept
  will be `min(max_singular_values, number_of_singular_values)`, so that
  `max(0, number_of_singular_values - max_singular_values)` are truncated.

  If both `max_truncation_err` and `max_singular_values` are set,
  `max_singular_values` takes priority: The truncation error may be larger
  than `max_truncation_err` if required to satisfy `max_singular_values`.

  Args:
    node: The node you want to split.
    left_edges: The edges you want connected to the new left node.
    right_edges: The edges you want connected to the new right node.
    max_singular_values: The maximum number of singular values to keep.
    max_truncation_err: The maximum allowed truncation error.
    relative: Multiply `max_truncation_err` with the largest singular value.
    left_name: The name of the new left node. If `None`, a name will be 
      generated automatically.
    right_name: The name of the new right node. If `None`, a name will be
      generated automatically.
    edge_name: The name of the new `Edge` connecting the new left and
      right node. If `None`, a name will be generated automatically.
      The new axis will get the same name as the edge.

  Returns:
    A tuple containing:
      left_node:
        A new node created that connects to all of the `left_edges`.
        Its underlying tensor is :math:`U \\sqrt{S}`
      right_node:
        A new node created that connects to all of the `right_edges`.
        Its underlying tensor is :math:`\\sqrt{S} V^*`
      truncated_singular_values:
        The vector of truncated singular values.
  Raises:
    AttributeError: If `node` has no backend attribute
  """"""
    if not hasattr(node, 'backend'):
        raise AttributeError('Node {} of type {} has no `backend`'.format(node, type(node)))
    if node.axis_names and edge_name:
        left_axis_names = []
        right_axis_names = [edge_name]
        for edge in left_edges:
            left_axis_names.append(node.axis_names[edge.axis1] if edge.node1 is node else node.axis_names[edge.axis2])
        for edge in right_edges:
            right_axis_names.append(node.axis_names[edge.axis1] if edge.node1 is node else node.axis_names[edge.axis2])
        left_axis_names.append(edge_name)
    else:
        left_axis_names = None
        right_axis_names = None
    backend = node.backend
    transp_tensor = node.tensor_from_edge_order(left_edges + right_edges)
    (u, s, vh, trun_vals) = backend.svd(transp_tensor, len(left_edges), max_singular_values, max_truncation_err, relative=relative)
    sqrt_s = backend.sqrt(s)
    u_s = backend.broadcast_right_multiplication(u, sqrt_s)
    vh_s = backend.broadcast_left_multiplication(sqrt_s, vh)
    left_node = Node(u_s, name=left_name, axis_names=left_axis_names, backend=backend)
    left_axes_order = [edge.axis1 if edge.node1 is node else edge.axis2 for edge in left_edges]
    for (i, edge) in enumerate(left_edges):
        left_node.add_edge(edge, i)
        edge.update_axis(left_axes_order[i], node, i, left_node)
    right_node = Node(vh_s, name=right_name, axis_names=right_axis_names, backend=backend)
    right_axes_order = [edge.axis1 if edge.node1 is node else edge.axis2 for edge in right_edges]
    for (i, edge) in enumerate(right_edges):
        right_node.add_edge(edge, i + 1)
        edge.update_axis(right_axes_order[i], node, i + 1, right_node)
    connect(left_node.edges[-1], right_node.edges[0], name=edge_name)
    node.fresh_edges(node.axis_names)
    return (left_node, right_node, trun_vals)","for edge in left_edges:
    left_axis_names.append(node.axis_names[edge.axis1] if edge.node1 is node else node.axis_names[edge.axis2])",left_axis_names = [node.axis_names[edge.axis1] if edge.node1 is node else node.axis_names[edge.axis2] for edge in left_edges],left_axis_names = [node.axis_names[edge.axis1] if edge.node1 is node else node.axis_names[edge.axis2] for edge in left_edges],1,,,,,robosuite
TensorNetwork,/data1/zhangzejun/mnt/zejun/smp/data/python_star_2000repo/TensorNetwork/tensornetwork/network_operations.py,https://github.com/google/TensorNetwork/tree/master/tensornetwork/network_operations.py,,split_node$130,"def split_node(node: AbstractNode, left_edges: List[Edge], right_edges: List[Edge], max_singular_values: Optional[int]=None, max_truncation_err: Optional[float]=None, relative: Optional[bool]=False, left_name: Optional[Text]=None, right_name: Optional[Text]=None, edge_name: Optional[Text]=None) -> Tuple[AbstractNode, AbstractNode, Tensor]:
    """"""Split a `node` using Singular Value Decomposition.

  Let :math:`M` be the matrix created by flattening `left_edges` and 
  `right_edges` into 2 axes. 
  Let :math:`U S V^* = M` be the SVD of :math:`M`. 
  This will split the network into 2 nodes. 
  The left node's tensor will be :math:`U \\sqrt{S}` 
  and the right node's tensor will be
  :math:`\\sqrt{S} V^*` where :math:`V^*` is the adjoint of :math:`V`.

  The singular value decomposition is truncated if `max_singular_values` or
  `max_truncation_err` is not `None`.

  The truncation error is the 2-norm of the vector of truncated singular
  values. If only `max_truncation_err` is set, as many singular values will
  be truncated as possible while maintaining:
  `norm(truncated_singular_values) <= max_truncation_err`.
  If `relative` is set `True` then `max_truncation_err` is understood
  relative to the largest singular value.

  If only `max_singular_values` is set, the number of singular values kept
  will be `min(max_singular_values, number_of_singular_values)`, so that
  `max(0, number_of_singular_values - max_singular_values)` are truncated.

  If both `max_truncation_err` and `max_singular_values` are set,
  `max_singular_values` takes priority: The truncation error may be larger
  than `max_truncation_err` if required to satisfy `max_singular_values`.

  Args:
    node: The node you want to split.
    left_edges: The edges you want connected to the new left node.
    right_edges: The edges you want connected to the new right node.
    max_singular_values: The maximum number of singular values to keep.
    max_truncation_err: The maximum allowed truncation error.
    relative: Multiply `max_truncation_err` with the largest singular value.
    left_name: The name of the new left node. If `None`, a name will be 
      generated automatically.
    right_name: The name of the new right node. If `None`, a name will be
      generated automatically.
    edge_name: The name of the new `Edge` connecting the new left and
      right node. If `None`, a name will be generated automatically.
      The new axis will get the same name as the edge.

  Returns:
    A tuple containing:
      left_node:
        A new node created that connects to all of the `left_edges`.
        Its underlying tensor is :math:`U \\sqrt{S}`
      right_node:
        A new node created that connects to all of the `right_edges`.
        Its underlying tensor is :math:`\\sqrt{S} V^*`
      truncated_singular_values:
        The vector of truncated singular values.
  Raises:
    AttributeError: If `node` has no backend attribute
  """"""
    if not hasattr(node, 'backend'):
        raise AttributeError('Node {} of type {} has no `backend`'.format(node, type(node)))
    if node.axis_names and edge_name:
        left_axis_names = []
        right_axis_names = [edge_name]
        for edge in left_edges:
            left_axis_names.append(node.axis_names[edge.axis1] if edge.node1 is node else node.axis_names[edge.axis2])
        for edge in right_edges:
            right_axis_names.append(node.axis_names[edge.axis1] if edge.node1 is node else node.axis_names[edge.axis2])
        left_axis_names.append(edge_name)
    else:
        left_axis_names = None
        right_axis_names = None
    backend = node.backend
    transp_tensor = node.tensor_from_edge_order(left_edges + right_edges)
    (u, s, vh, trun_vals) = backend.svd(transp_tensor, len(left_edges), max_singular_values, max_truncation_err, relative=relative)
    sqrt_s = backend.sqrt(s)
    u_s = backend.broadcast_right_multiplication(u, sqrt_s)
    vh_s = backend.broadcast_left_multiplication(sqrt_s, vh)
    left_node = Node(u_s, name=left_name, axis_names=left_axis_names, backend=backend)
    left_axes_order = [edge.axis1 if edge.node1 is node else edge.axis2 for edge in left_edges]
    for (i, edge) in enumerate(left_edges):
        left_node.add_edge(edge, i)
        edge.update_axis(left_axes_order[i], node, i, left_node)
    right_node = Node(vh_s, name=right_name, axis_names=right_axis_names, backend=backend)
    right_axes_order = [edge.axis1 if edge.node1 is node else edge.axis2 for edge in right_edges]
    for (i, edge) in enumerate(right_edges):
        right_node.add_edge(edge, i + 1)
        edge.update_axis(right_axes_order[i], node, i + 1, right_node)
    connect(left_node.edges[-1], right_node.edges[0], name=edge_name)
    node.fresh_edges(node.axis_names)
    return (left_node, right_node, trun_vals)","for edge in right_edges:
    right_axis_names.append(node.axis_names[edge.axis1] if edge.node1 is node else node.axis_names[edge.axis2])",right_axis_names = [node.axis_names[edge.axis1] if edge.node1 is node else node.axis_names[edge.axis2] for edge in right_edges],Cannot refactor,-1,0,,2,1,robosuite
texar-pytorch,/data1/zhangzejun/mnt/zejun/smp/data/python_star_2000repo/texar-pytorch/examples/gpt-2/gpt2_train_main.py,https://github.com/asyml/texar-pytorch/tree/master/examples/gpt-2/gpt2_train_main.py,,_test_epoch$200,"def _test_epoch():
    """"""Generates samples on the test set.
        """"""
    iterator.switch_to_dataset('test')
    model.eval()
    _all_inputs = []
    _all_samples = []
    for batch in iterator:
        input_ids = batch['text_ids']
        length = batch['length']
        start_tokens = input_ids[:, 0]
        helper = _get_helper(start_tokens)
        (output, _) = model(context=input_ids, context_sequence_length=length, max_decoding_length=max_decoding_length, helper=helper)
        sample_id = output.sample_id
        _inputs = []
        for (i, l) in zip(input_ids, length):
            _inputs.append(i[:l].tolist())
        _all_inputs.extend(_inputs)
        _samples = []
        for (s, l) in zip(sample_id, length):
            _samples.append(s[l:].tolist())
        _all_samples.extend(_samples)
    eos_token_id = tokenizer.map_token_to_id('<|endoftext|>')
    _all_input_text = []
    for i in _all_inputs:
        if i[0] == eos_token_id:
            i = i[1:]
        i_text = tokenizer.map_id_to_text(i)
        _all_input_text.append(i_text)
    _all_input_text = tx.utils.strip_eos(_all_input_text, eos_token='<|endoftext|>')
    _all_samples_text = []
    for (i, s) in zip(_all_inputs, _all_samples):
        s_text = tokenizer.map_id_to_text(s)
        s_text = s_text.replace('\n', ' ')
        _all_samples_text.append(s_text)
    _all_samples_text = tx.utils.strip_eos(_all_samples_text, eos_token='<|endoftext|>')
    output_file = os.path.join(args.output_dir, 'test_samples.tsv')
    print('Write samples to {}'.format(output_file))
    tx.utils.write_paired_text(_all_input_text, _all_samples_text, output_file)","for i in _all_inputs:
    if i[0] == eos_token_id:
        i = i[1:]
    i_text = tokenizer.map_id_to_text(i)
    _all_input_text.append(i_text)",_all_input_text = [tokenizer.map_id_to_text(i[1:]) if i[0] == eos_token_id else tokenizer.map_id_to_text(i) for i in _all_inputs],Cannot refactor,-1,1,,,,robosuite
texar-pytorch,/data1/zhangzejun/mnt/zejun/smp/data/python_star_2000repo/texar-pytorch/examples/gpt-2/gpt2_train_main.py,https://github.com/asyml/texar-pytorch/tree/master/examples/gpt-2/gpt2_train_main.py,,_test_epoch$200,"def _test_epoch():
    """"""Generates samples on the test set.
        """"""
    iterator.switch_to_dataset('test')
    model.eval()
    _all_inputs = []
    _all_samples = []
    for batch in iterator:
        input_ids = batch['text_ids']
        length = batch['length']
        start_tokens = input_ids[:, 0]
        helper = _get_helper(start_tokens)
        (output, _) = model(context=input_ids, context_sequence_length=length, max_decoding_length=max_decoding_length, helper=helper)
        sample_id = output.sample_id
        _inputs = []
        for (i, l) in zip(input_ids, length):
            _inputs.append(i[:l].tolist())
        _all_inputs.extend(_inputs)
        _samples = []
        for (s, l) in zip(sample_id, length):
            _samples.append(s[l:].tolist())
        _all_samples.extend(_samples)
    eos_token_id = tokenizer.map_token_to_id('<|endoftext|>')
    _all_input_text = []
    for i in _all_inputs:
        if i[0] == eos_token_id:
            i = i[1:]
        i_text = tokenizer.map_id_to_text(i)
        _all_input_text.append(i_text)
    _all_input_text = tx.utils.strip_eos(_all_input_text, eos_token='<|endoftext|>')
    _all_samples_text = []
    for (i, s) in zip(_all_inputs, _all_samples):
        s_text = tokenizer.map_id_to_text(s)
        s_text = s_text.replace('\n', ' ')
        _all_samples_text.append(s_text)
    _all_samples_text = tx.utils.strip_eos(_all_samples_text, eos_token='<|endoftext|>')
    output_file = os.path.join(args.output_dir, 'test_samples.tsv')
    print('Write samples to {}'.format(output_file))
    tx.utils.write_paired_text(_all_input_text, _all_samples_text, output_file)","for (i, s) in zip(_all_inputs, _all_samples):
    s_text = tokenizer.map_id_to_text(s)
    s_text = s_text.replace('\n', ' ')
    _all_samples_text.append(s_text)","_all_samples_text = [tokenizer.map_id_to_text(s).replace('\n', ' ') for (i, s) in zip(_all_inputs, _all_samples)]",Cannot refactor,-1,1,,,,robosuite
texar-pytorch,/data1/zhangzejun/mnt/zejun/smp/data/python_star_2000repo/texar-pytorch/examples/gpt-2/gpt2_train_main.py,https://github.com/asyml/texar-pytorch/tree/master/examples/gpt-2/gpt2_train_main.py,,_test_epoch$200,"def _test_epoch():
    """"""Generates samples on the test set.
        """"""
    iterator.switch_to_dataset('test')
    model.eval()
    _all_inputs = []
    _all_samples = []
    for batch in iterator:
        input_ids = batch['text_ids']
        length = batch['length']
        start_tokens = input_ids[:, 0]
        helper = _get_helper(start_tokens)
        (output, _) = model(context=input_ids, context_sequence_length=length, max_decoding_length=max_decoding_length, helper=helper)
        sample_id = output.sample_id
        _inputs = []
        for (i, l) in zip(input_ids, length):
            _inputs.append(i[:l].tolist())
        _all_inputs.extend(_inputs)
        _samples = []
        for (s, l) in zip(sample_id, length):
            _samples.append(s[l:].tolist())
        _all_samples.extend(_samples)
    eos_token_id = tokenizer.map_token_to_id('<|endoftext|>')
    _all_input_text = []
    for i in _all_inputs:
        if i[0] == eos_token_id:
            i = i[1:]
        i_text = tokenizer.map_id_to_text(i)
        _all_input_text.append(i_text)
    _all_input_text = tx.utils.strip_eos(_all_input_text, eos_token='<|endoftext|>')
    _all_samples_text = []
    for (i, s) in zip(_all_inputs, _all_samples):
        s_text = tokenizer.map_id_to_text(s)
        s_text = s_text.replace('\n', ' ')
        _all_samples_text.append(s_text)
    _all_samples_text = tx.utils.strip_eos(_all_samples_text, eos_token='<|endoftext|>')
    output_file = os.path.join(args.output_dir, 'test_samples.tsv')
    print('Write samples to {}'.format(output_file))
    tx.utils.write_paired_text(_all_input_text, _all_samples_text, output_file)","for (i, l) in zip(input_ids, length):
    _inputs.append(i[:l].tolist())","_inputs += [i[:l].tolist() for (i, l) in zip(input_ids, length)]","_inputs = [i[:l].tolist() for (i, l) in zip(input_ids, length)]",0,1,,,,robosuite
